isin,name,issuer,fund_family,asset_class,category,strategy,benchmark,domicile,fund_currency,aum_millions,aum_currency,inception_date,age_years,replication_method,distribution_policy,ter,exchange,exchange_code,ticker,trading_currency,listing_date,country,provider,snapshot_date,retrieved_at
IE1000000002,Atlas European Equity Enhanced ETF,Atlas Index,Atlas Index,Equity,European Equity,Core,Europe 600,IE,EUR,1824.41,EUR,2013-05-24,13.2,Physical,Distributing,0.24,Euronext Paris,XPAR,AT0002,EUR,2015-04-13,FR,Atlas Data Feed,2026-08-14,2026-08-14T06:30:00+00:00
IE1000000002,Atlas European Equity Enhanced ETF,Atlas Index,Atlas Index,Equity,European Equity,Core,Europe 600,IE,EUR,1824.41,EUR,2013-05-24,13.2,Physical,Distributing,0.24,Deutsche Börse Xetra,XETR,AT0001,EUR,2013-06-27,DE,Atlas Data Feed,2026-08-14,2026-08-14T06:30:00+00:00
IE1000000002,Atlas European Equity Enhanced ETF,Atlas Index,Atlas Index,Equity,European Equity,Core,Europe 600,IE,EUR,1824.41,EUR,2013-05-24,13.2,Physical,Distributing,0.24,Bolsa de Madrid,XMAD,AT0006,EUR,2014-03-03,ES,Atlas Data Feed,2026-08-14,2026-08-14T06:30:00+00:00
IE1000000002,Atlas European Equity Enhanced ETF,Atlas Index,Atlas Index,Equity,European Equity,Core,Europe 600,IE,EUR,1824.41,EUR,2013-05-24,13.2,Physical,Distributing,0.24,Borsa Italiana,XMIL,AT0003,EUR,2015-01-11,IT,Atlas Data Feed,2026-08-14,2026-08-14T06:30:00+00:00
IE1000000010,Northstar Corporate Bond UCITS ETF,Northstar Asset Management,Northstar Asset Management,Fixed Income,Corporate Bond,Income,Global Corporate Bond,IE,EUR,3419.36,EUR,2018-09-18,7.9,Sampling,Accumulating,0.48,SIX Swiss Exchange,XSWX,NO0014,USD,2020-08-21,CH,Northstar Public Data,2026-08-14,2026-08-14T06:30:00+00:00
IE1000000010,Northstar Corporate Bond UCITS ETF,Northstar Asset Management,Northstar Asset Management,Fixed Income,Corporate Bond,Income,Global Corporate Bond,IE,EUR,3419.36,EUR,2018-09-18,7.9,Sampling,Accumulating,0.48,Deutsche Börse Xetra,XETR,NO0011,EUR,2020-12-12,DE,Northstar Public Data,2026-08-14,2026-08-14T06:30:00+00:00
IE1000000010,Northstar Corporate Bond UCITS ETF,Northstar Asset Management,Northstar Asset Management,Fixed Income,Corporate Bond,Income,Global Corporate Bond,IE,EUR,3419.36,EUR,2018-09-18,7.9,Sampling,Accumulating,0.48,Bolsa de Madrid,XMAD,NO0016,EUR,2019-07-21,ES,Northstar Public Data,2026-08-14,2026-08-14T06:30:00+00:00
IE1000000028,Helix Gold Screened UCITS ETF,Helix Funds,Helix Funds,Commodity,Gold,Single commodity,Physical Gold Reference,IE,USD,2444.52,USD,2011-06-26,15.1,Sampling,Accumulating,0.06,Euronext Amsterdam,XAMS,HE0025,EUR,2013-09-08,NL,Helix Market Files,2026-08-14,2026-08-14T06:30:00+00:00
IE1000000028,Helix Gold Screened UCITS ETF,Helix Funds,Helix Funds,Commodity,Gold,Single commodity,Physical Gold Reference,IE,USD,2444.52,USD,2011-06-26,15.1,Sampling,Accumulating,0.06,London Stock Exchange,XLON,HE0020,GBP,2012-05-16,GB,Helix Market Files,2026-08-14,2026-08-14T06:30:00+00:00
IE1000000028,Helix Gold Screened UCITS ETF,Helix Funds,Helix Funds,Commodity,Gold,Single commodity,Physical Gold Reference,IE,USD,2444.52,USD,2011-06-26,15.1,Sampling,Accumulating,0.06,Bolsa de Madrid,XMAD,HE0026,EUR,2011-09-29,ES,Helix Market Files,2026-08-14,2026-08-14T06:30:00+00:00
